country,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct
Iran (Islamic Rep.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,4080,3972,3861,4002,3875,3701,3879,3869,3853,3633,3218,3194,3023,3050,3292
Ireland,0,0,0,0,9.9852,0,0,0,0,0,0,0,20.4458,13.266,0
Italy,0,0,0,0,0,0,0,0,0,6.8945,0,6.8945,0,7.37,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,1241.9639,1672.7443,1541.7565,1482.5983,1502.0535,1325.649,1630.8031,1476.3774,1518.4657,1437.8632,1659.4783,1476.1397,1494.2081,1256.3393,0
Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,1915,2056,1875,1778,2212,2049,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,1.2167,1.1774,1.2167,0,1.4129,0,1.1774,0,0,1.2167,1.4129,0,1.2167,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The former Yugoslav Rep. of Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,273.3548,203.4267,264.7742,292.6,322.1419,264.2839,219.6138,305.9613,204.6933,203.729,249.5333,395.9355,423.1484,327.3067,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1175.6339,1083.39,1048.9174,1212.6107,1206.7781,1368.4426,1162.9352,1240.2997,1272.062,1145.9161,1198.362,1057.0006,1276.1987,1096.1647,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,6.1813,5.6503,4.7548,9.581,4.7548,9.0342,9.149,4.9926,4.9133,3.8039,11.5463,5.4681,9.9852,5.6503,5.4681
New Zealand,28.0535,31.691,14.5023,22.6013,24.9629,15.4532,25.6679,15.9287,16.951,13.5513,23.3383,16.6419,16.6419,18.425,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,2049,2181,1923,1633,1629,1645,1806,1801,1754,1509,1204,1367,1167,1258,1439
Norway,1146.3916,1233.001,1157.09,1696.8197,1561.0135,1373.6729,1654.4379,1454.2674,1563.914,1533.4355,1305.7183,1576.4668,1456.4071,1325.6173,1678.6958
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,10.0323,9.08,10.129,8.3333,9.7387,0,0,10.5484,10,0,7.1333,0,0,0,0
Poland,4.5171,2.4567,9.5097,9.8267,4.7548,4.7548,4.8286,4.5171,2.4567,4.7548,2.4567,4.5171,4.7548,2.4567,7.37
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0.7263,1.2508,0.7263,0.7505,0.9684,0.9684,0.7764,0.7263,0.5003,0.4842,0.2502,0.9684,0.9684,1.0007,0.4842
Russian Federation,5576.3226,5517,5718.6968,5443.44,4935.6387,4650.8903,4819.4483,5196.6581,5345.36,4555.9742,5002.08,4128.8516,3654.271,4487.16,0
Saudi Arabia,6880,6669,7057,7373,7373,7294,7278,7391,10237,6020,4980,5734,5968,6066,6159
Singapore,0.0002,0,0,0.0002,0,0.0001,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,34.9481,32.6737,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria (Arab Rep.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,32.0285,25.7787,23.8717,35.002,42.3624,25.1784,36.0137,18.2472,40.0634,33.5117,25.8458,27.108,16.419,29.9825,0
Trinidad/Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,48.3726,22.301,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,681.6061,868.186,738.4265,867.6947,848.0255,801.6658,860.2569,620.9819,685.1643,695.6329,660.352,768.8574,758.6345,733.0693,763.8648
United States of America,2727.4194,3091.8,3382.7419,3023.1333,3668.7419,3250.8065,3707.7586,2925.6129,3077.1333,2928.6129,2752.8333,3242.9677,3253.1613,3238.3,2724.5484
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
